Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,3,0.22,0,5.0,8435516,0.22,0.0,2,0.0,0,0.22,UNSAT,,0.468,
2,1,4,0.01,0,5.0,16049169,0.01,0.0,2,0.0,1,0.23,UNSAT,,0.085,
3,2,3,0.2,0,1.2886004078865052,8435516,0.2,0.0,2,0.0,1,0.43000000000000005,UNSAT,,0.257,
4,2,4,0.01,0,1.0429007041931153,16049169,0.01,0.0,2,0.0,1,0.44000000000000006,UNSAT,,0.054,
5,2,1,0.0,0,5.0,5320365,0.0,0.0,2,0.0,1,0.44000000000000006,UNSAT,,0.056,
6,3,1,0.0,0,1.0026002157211304,5320365,0.0,0.0,2,0.0,1,0.44000000000000006,UNSAT,,0.053,
7,3,4,0.01,0,1.2782002318382264,16049169,0.01,0.0,2,0.0,1,0.45000000000000007,UNSAT,,0.054,
8,3,3,1.265200399208069,1,1.265200399208069,8435516,1.02,0.0,0,0.0,1,1.4700000000000002,TIMEOUT,,1.084,
9,2,5,0.01,0,5.0,7163446,0.01,0.0,2,0.0,2,1.4800000000000002,UNSAT,,0.132,
10,4,1,0.01,0,1.0026002157211304,5320365,0.01,0.0,2,0.0,2,1.4900000000000002,UNSAT,,0.054,
11,2,2,0.0,0,5.0,8765092,0.0,0.0,2,0.0,2,1.4900000000000002,UNSAT,,0.079,
12,3,2,0.0,1,0.0,8765092,0.0,0.0,0,0.0,2,1.4900000000000002,TIMEOUT,,0.0,
13,2,1,0.0,0,5.0,15686777,0.0,0.0,2,0.0,2,1.4900000000000002,UNSAT,,0.054,
14,5,5,0.0,0,1.015600048351288,7163446,0.0,0.0,2,0.0,2,1.4900000000000002,UNSAT,,0.054,
15,5,1,0.0,0,1.2782002318382264,5320365,0.0,0.0,2,0.0,2,1.4900000000000002,UNSAT,,0.054,
16,5,3,1.2782002318382264,1,1.2782002318382264,8435516,1.02,0.0,0,0.0,2,2.5100000000000002,TIMEOUT,,1.125,
17,2,5,0.01,0,5.0,15753149,0.01,0.0,2,0.0,3,2.52,UNSAT,,0.054,
18,6,1,0.0,0,1.0026002157211304,15686777,0.0,0.0,2,0.0,3,2.52,UNSAT,,0.053,
19,6,2,0.01,0,1.0182004797935487,8765092,0.01,0.0,2,0.0,3,2.53,UNSAT,,0.052,
20,6,5,0.01,0,1.0052006471633912,7163446,0.01,0.0,2,0.0,3,2.5399999999999996,UNSAT,,0.053,
21,2,4,0.01,0,5.0,15375424,0.01,0.0,2,0.0,3,2.5499999999999994,UNSAT,,0.053,
22,7,3,1.2626007426261903,1,1.2626007426261903,8435516,1.01,0.0,0,0.0,3,3.5599999999999996,TIMEOUT,,1.086,
23,2,2,0.0,0,5.0,14371703,0.0,0.0,2,0.0,4,3.5599999999999996,UNSAT,,0.054,
24,8,4,0.01,0,1.015600048351288,16049169,0.01,0.0,2,0.0,4,3.5699999999999994,UNSAT,,0.057,
25,8,4,0.01,0,1.019500695514679,15375424,0.01,0.0,2,0.0,4,3.579999999999999,UNSAT,,0.054,
26,8,1,0.0,0,1.0039004314422608,5320365,0.0,0.0,2,0.0,4,3.579999999999999,UNSAT,,0.054,
27,8,5,0.0,0,1.5603005517005921,7163446,0.0,0.0,2,0.0,4,3.579999999999999,UNSAT,,0.055,
28,8,2,0.0,0,1.2808006632804871,14371703,0.0,0.0,2,0.0,4,3.579999999999999,UNSAT,,0.053,
29,8,5,0.01,0,1.5603005517005921,15753149,0.01,0.0,2,0.0,4,3.589999999999999,UNSAT,,0.056,
30,8,3,1.2743003595352174,1,1.2743003595352174,8435516,1.01,0.0,0,0.0,4,4.599999999999999,TIMEOUT,,1.083,
31,2,3,0.18,0,5.0,1009110,0.18,0.0,2,0.0,4,4.7799999999999985,UNSAT,,0.232,
32,9,5,0.0,0,1.015600048351288,15753149,0.0,0.0,2,0.0,4,4.7799999999999985,UNSAT,,0.054,
33,9,1,0.0,0,1.0182004797935487,5320365,0.0,0.0,2,0.0,4,4.7799999999999985,UNSAT,,0.054,
34,9,2,0.0,0,1.0182004797935487,8765092,0.0,0.0,2,0.0,4,4.7799999999999985,UNSAT,,0.054,
35,9,4,0.01,0,1.2808006632804871,16049169,0.01,0.0,2,0.0,4,4.789999999999998,UNSAT,,0.053,
36,9,3,0.24,0,1.534300111579895,1009110,0.24,0.0,2,0.0,4,5.0299999999999985,UNSAT,,0.279,
37,9,1,0.0,0,1.2223002541542054,15686777,0.0,0.0,2,0.0,4,5.0299999999999985,UNSAT,,0.053,
38,9,3,0.19,0,1.2223002541542054,8435516,0.19,0.0,2,0.0,4,5.219999999999999,UNSAT,,0.255,
39,2,1,0.0,0,5.0,8756526,0.0,0.0,2,0.0,5,5.219999999999999,UNSAT,,0.053,
40,10,2,0.01,0,1.0026002157211304,14371703,0.01,0.0,2,0.0,5,5.229999999999999,UNSAT,,0.053,
41,2,4,0.01,0,5.0,5412823,0.01,0.0,2,0.0,5,5.239999999999998,UNSAT,,0.054,
42,11,1,0.0,0,1.0026002157211304,15686777,0.0,0.0,2,0.0,5,5.239999999999998,UNSAT,,0.055,
43,11,5,0.0,0,1.0182004797935487,15753149,0.0,0.0,2,0.0,5,5.239999999999998,UNSAT,,0.053,
44,11,2,0.0,0,1.0182004797935487,8765092,0.0,0.0,2,0.0,5,5.239999999999998,UNSAT,,0.053,
45,11,1,0.0,0,1.0949000347137452,5320365,0.0,0.0,2,0.0,5,5.239999999999998,UNSAT,,0.053,
46,11,1,0.0,0,1.0949000347137452,8756526,0.0,0.0,2,0.0,5,5.239999999999998,UNSAT,,0.053,
47,11,4,0.01,0,1.0637002814292909,16049169,0.01,0.0,2,0.0,5,5.249999999999998,UNSAT,,0.053,
48,11,4,0.01,0,1.0507004487991334,15375424,0.01,0.0,2,0.0,5,5.259999999999998,UNSAT,,0.053,
49,11,3,1.5429669249534608,1,1.5429669249534608,8435516,1.01,0.0,0,0.0,5,6.269999999999998,TIMEOUT,,1.058,
50,2,2,0.0,0,5.0,12908281,0.0,0.0,2,0.0,6,6.269999999999998,UNSAT,,0.054,
51,12,2,0.0,0,1.0026002157211304,14371703,0.0,0.0,2,0.0,6,6.269999999999998,UNSAT,,0.053,
52,12,4,0.01,0,1.0182004797935487,5412823,0.01,0.0,2,0.0,6,6.279999999999998,UNSAT,,0.063,
53,12,1,0.0,0,1.0052006471633912,15686777,0.0,0.0,2,0.0,6,6.279999999999998,UNSAT,,0.055,
54,12,2,0.0,0,1.518700622367859,12908281,0.0,0.0,2,0.0,6,6.279999999999998,UNSAT,,0.053,
55,12,4,0.01,0,1.518700622367859,15375424,0.01,0.0,2,0.0,6,6.289999999999997,UNSAT,,0.053,
56,12,1,0.0,0,1.5057000148773194,8756526,0.0,0.0,2,0.0,6,6.289999999999997,UNSAT,,0.053,
57,12,3,1.2535000074386597,1,1.2535000074386597,8435516,1.01,0.0,0,0.0,6,7.299999999999997,TIMEOUT,,1.083,
58,2,5,0.01,0,5.0,6750928,0.01,0.0,2,0.0,6,7.309999999999997,UNSAT,,0.054,
59,13,5,0.01,0,1.015600048351288,6750928,0.01,0.0,2,0.0,6,7.319999999999997,UNSAT,,0.052,
60,13,4,0.01,0,1.0325005281448365,15375424,0.01,0.0,2,0.0,6,7.3299999999999965,UNSAT,,0.052,
61,13,4,0.01,0,1.019500695514679,5412823,0.01,0.0,2,0.0,6,7.339999999999996,UNSAT,,0.053,
62,13,1,0.0,0,1.2548002231597901,5320365,0.0,0.0,2,0.0,6,7.339999999999996,UNSAT,,0.053,
63,13,2,0.0,0,1.5083004463195802,8765092,0.0,0.0,2,0.0,6,7.339999999999996,UNSAT,,0.055,
64,13,3,0.04,0,1.2548002231597901,1009110,0.04,0.0,2,0.0,6,7.379999999999996,UNSAT,,0.079,
65,13,2,0.0,0,1.4043002355575562,14371703,0.0,0.0,2,0.0,6,7.379999999999996,UNSAT,,0.053,
66,13,2,0.0,0,1.7228003967285157,12908281,0.0,0.0,2,0.0,6,7.379999999999996,UNSAT,,0.054,
67,13,3,0.04,0,1.4823000061988831,8435516,0.04,0.0,2,0.0,6,7.419999999999996,UNSAT,,0.078,
68,13,5,0.01,0,1.6448006260871888,15753149,0.01,0.0,2,0.0,6,7.429999999999996,UNSAT,,0.053,
69,13,1,0.0,0,1.6318000185966492,8756526,0.0,0.0,2,0.0,6,7.429999999999996,UNSAT,,0.052,
70,13,5,0.01,0,1.6318000185966492,7163446,0.01,0.0,2,0.0,6,7.439999999999996,UNSAT,,0.053,
71,13,1,0.01,0,1.6188001859664918,15686777,0.01,0.0,2,0.0,6,7.449999999999996,UNSAT,,0.053,
72,13,4,0.01,0,1.6058003533363343,16049169,0.01,0.0,2,0.0,6,7.4599999999999955,UNSAT,,0.053,
73,13,3,0.03,0,5.0,13757434,0.03,0.0,2,0.0,7,7.489999999999996,UNSAT,,0.078,
74,14,3,0.29,0,1.0502673018455506,8435516,0.29,0.0,2,0.0,7,7.779999999999996,UNSAT,,0.329,
75,13,4,0.0,0,5.0,165298,0.0,0.0,2,0.0,7,7.779999999999996,UNSAT,,0.053,
76,15,4,0.02,0,1.012350283908844,165298,0.02,0.0,2,0.0,7,7.799999999999995,UNSAT,,0.053,
77,13,3,0.03,0,5.0,9751078,0.03,0.0,2,0.0,7,7.829999999999996,UNSAT,,0.078,
78,16,4,0.02,0,1.012350283908844,15375424,0.02,0.0,2,0.0,7,7.849999999999995,UNSAT,,0.053,
79,13,2,0.0,0,5.0,8404473,0.0,0.0,2,0.0,7,7.849999999999995,UNSAT,,0.052,
80,17,5,0.01,0,1.015600048351288,6750928,0.01,0.0,2,0.0,7,7.859999999999995,UNSAT,,0.053,
81,17,1,0.0,0,1.009533666419983,15686777,0.0,0.0,2,0.0,7,7.859999999999995,UNSAT,,0.053,
82,17,2,0.01,0,1.009533666419983,8404473,0.01,0.0,2,0.0,7,7.869999999999995,UNSAT,,0.052,
83,13,5,0.01,0,5.0,12680961,0.01,0.0,2,0.0,8,7.879999999999995,UNSAT,,0.053,
84,18,1,0.0,0,1.0069340098381043,8756526,0.0,0.0,2,0.0,8,7.879999999999995,UNSAT,,0.052,
85,18,4,0.01,0,1.032283567237854,15375424,0.01,0.0,2,0.0,8,7.889999999999994,UNSAT,,0.053,
86,18,5,0.01,0,1.0192837346076966,7163446,0.01,0.0,2,0.0,8,7.899999999999994,UNSAT,,0.053,
87,18,1,0.0,0,1.1204673278808595,5320365,0.0,0.0,2,0.0,8,7.899999999999994,UNSAT,,0.053,
88,18,3,0.19,0,1.0608836639404298,13757434,0.19,0.0,2,0.0,8,8.089999999999995,UNSAT,,0.232,
89,13,1,0.0,0,5.0,11561724,0.0,0.0,2,0.0,8,8.089999999999995,UNSAT,,0.052,
90,19,3,1.0481000173568726,1,1.0481000173568726,1009110,1.01,0.0,0,0.0,8,9.099999999999994,TIMEOUT,,1.059,
91,13,2,0.0,0,5.0,14656913,0.0,0.0,2,0.0,9,9.099999999999994,UNSAT,,0.054,
92,20,5,0.01,0,1.015600048351288,6750928,0.01,0.0,2,0.0,9,9.109999999999994,UNSAT,,0.052,
93,20,1,0.0,0,1.0130003917694093,15686777,0.0,0.0,2,0.0,9,9.109999999999994,UNSAT,,0.052,
94,20,1,0.01,0,1.0130003917694093,8756526,0.01,0.0,2,0.0,9,9.119999999999994,UNSAT,,0.052,
95,13,5,0.01,0,5.0,8449837,0.01,0.0,2,0.0,9,9.129999999999994,UNSAT,,0.052,
96,21,2,0.01,0,1.0026002157211304,14371703,0.01,0.0,2,0.0,9,9.139999999999993,UNSAT,,0.053,
97,13,1,0.0,0,5.0,1835372,0.0,0.0,2,0.0,9,9.139999999999993,UNSAT,,0.054,
98,22,5,0.01,0,1.015600048351288,15753149,0.01,0.0,2,0.0,9,9.149999999999993,UNSAT,,0.055,
99,22,1,0.0,0,1.0117001760482789,8756526,0.0,0.0,2,0.0,9,9.149999999999993,UNSAT,,0.053,
100,22,1,0.0,0,1.0117001760482789,5320365,0.0,0.0,2,0.0,9,9.149999999999993,UNSAT,,0.053,
101,22,1,0.0,0,1.2099505293846131,11561724,0.0,0.0,2,0.0,9,9.149999999999993,UNSAT,,0.053,
102,22,3,1.0708506930351258,1,1.0708506930351258,9751078,1.02,0.0,0,0.0,9,10.169999999999993,TIMEOUT,,1.083,
103,13,4,0.01,0,5.0,4980283,0.01,0.0,2,0.0,10,10.179999999999993,UNSAT,,0.053,
104,23,5,0.01,0,1.015600048351288,15753149,0.01,0.0,2,0.0,10,10.189999999999992,UNSAT,,0.055,
105,23,4,0.0,0,1.027300440120697,5412823,0.0,0.0,2,0.0,10,10.189999999999992,UNSAT,,0.052,
106,23,4,0.01,0,1.027300440120697,15375424,0.01,0.0,2,0.0,10,10.199999999999992,UNSAT,,0.053,
107,23,1,0.0,0,1.0619669187545777,8756526,0.0,0.0,2,0.0,10,10.199999999999992,UNSAT,,0.053,
108,23,3,0.21,0,1.0619669187545777,13757434,0.21,0.0,2,0.0,10,10.409999999999993,UNSAT,,0.28,
109,13,3,0.02,0,5.0,8482008,0.02,0.0,2,0.0,10,10.429999999999993,UNSAT,,0.078,
110,24,4,0.01,0,1.0130003917694093,5412823,0.01,0.0,2,0.0,10,10.439999999999992,UNSAT,,0.058,
