1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
2: sp-clause-activity-inc='0.5830925374954263', sp-clause-decay='1.3667501874114996', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='1408', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.4071781616519003', sp-learned-size-factor='0.1499060474001349', sp-max-res-lit-inc='2.70220965581976', sp-max-res-runs='1', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.3664363576570313', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.36891439697153505', sp-res-cutoff-cls='6', sp-res-cutoff-lits='640', sp-res-order-heur='11', sp-resolution='2', sp-restart-inc='1.2819202428328351', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.3787318810754305', sp-var-dec-heur='13', sp-variable-decay='1.8043785941288566'
3: sp-clause-activity-inc='0.824818426790216', sp-clause-decay='1.1791390901882521', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='119', sp-learned-clause-sort-heur='10', sp-learned-clauses-inc='1.4302305601334204', sp-learned-size-factor='0.46836677576395086', sp-max-res-lit-inc='1.5938866018429563', sp-max-res-runs='2', sp-orig-clause-sort-heur='10', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.3038355699121066', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.7145612724145161', sp-res-cutoff-cls='6', sp-res-cutoff-lits='1003', sp-res-order-heur='18', sp-resolution='2', sp-restart-inc='1.6728588592853568', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.6790872671526491', sp-var-dec-heur='12', sp-variable-decay='1.1867098934681817'
4: sp-clause-activity-inc='1.3947540289777196', sp-clause-decay='1.354547100304171', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='3089', sp-learned-clause-sort-heur='14', sp-learned-clauses-inc='1.4871932217233834', sp-learned-size-factor='0.5677397678609576', sp-max-res-lit-inc='2.674039951858979', sp-max-res-runs='1', sp-orig-clause-sort-heur='1', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.5156803252462134', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.9307052238739788', sp-res-cutoff-cls='12', sp-res-cutoff-lits='821', sp-res-order-heur='10', sp-resolution='0', sp-restart-inc='1.1828568940648017', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.6113785540345298', sp-var-dec-heur='12', sp-variable-decay='1.8797076734527365'
5: sp-clause-activity-inc='1.142545215908879', sp-clause-decay='1.561608146295299', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='1760', sp-learned-clause-sort-heur='6', sp-learned-clauses-inc='1.4674447004182922', sp-learned-size-factor='0.22793937633294215', sp-max-res-lit-inc='0.9301562035212819', sp-max-res-runs='1', sp-orig-clause-sort-heur='2', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.9067301543524173', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.43782756298370096', sp-res-cutoff-cls='4', sp-res-cutoff-lits='574', sp-res-order-heur='4', sp-resolution='0', sp-restart-inc='1.6248417880631503', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.6515185015923587', sp-var-dec-heur='5', sp-variable-decay='1.6674546625112756'
6: sp-clause-activity-inc='0.9372219256057799', sp-clause-decay='1.434951173795279', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='45', sp-learned-clause-sort-heur='6', sp-learned-clauses-inc='1.2726522086297731', sp-learned-size-factor='1.3808531732372065', sp-max-res-lit-inc='0.27397043546070937', sp-max-res-runs='2', sp-orig-clause-sort-heur='17', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.7826591137492105', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='1.048702896125921', sp-res-cutoff-cls='2', sp-res-cutoff-lits='1059', sp-res-order-heur='13', sp-resolution='1', sp-restart-inc='1.2656295935708446', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.359188034079211', sp-var-dec-heur='1', sp-variable-decay='1.6168244031899852'
7: sp-clause-activity-inc='1.3567699530825188', sp-clause-decay='1.186702255725001', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='2633', sp-learned-clause-sort-heur='11', sp-learned-clauses-inc='1.2899656712252336', sp-learned-size-factor='0.2143112151082136', sp-max-res-lit-inc='0.39907351815978964', sp-max-res-runs='1', sp-orig-clause-sort-heur='17', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.44850610419305836', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.907611249556852', sp-res-cutoff-cls='2', sp-res-cutoff-lits='506', sp-res-order-heur='14', sp-resolution='0', sp-restart-inc='1.301845670581353', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.9398269590954886', sp-var-dec-heur='7', sp-variable-decay='1.0771902510300029'
8: sp-clause-activity-inc='0.9248781616056343', sp-clause-decay='1.4395220890077165', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='112', sp-learned-clause-sort-heur='11', sp-learned-clauses-inc='1.3327471818370502', sp-learned-size-factor='0.14521394241200436', sp-max-res-lit-inc='0.791850175774846', sp-max-res-runs='1', sp-orig-clause-sort-heur='9', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.5978596799398089', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.45953259989456974', sp-res-cutoff-cls='12', sp-res-cutoff-lits='1513', sp-res-order-heur='4', sp-resolution='1', sp-restart-inc='1.5142210802098688', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.367940567602611', sp-var-dec-heur='11', sp-variable-decay='1.5354060665596807'
9: sp-clause-activity-inc='1.402427590990623', sp-clause-decay='1.0898545444441032', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='45', sp-learned-clause-sort-heur='8', sp-learned-clauses-inc='1.217933492979188', sp-learned-size-factor='0.30859697937238145', sp-max-res-lit-inc='0.5631163792580082', sp-max-res-runs='6', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.5496532541101512', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.9994843320234366', sp-res-cutoff-cls='18', sp-res-cutoff-lits='334', sp-res-order-heur='14', sp-resolution='2', sp-restart-inc='1.8221708294018155', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.4101441180401197', sp-var-dec-heur='6', sp-variable-decay='1.294808318375513'
10: sp-clause-activity-inc='1.1135110550640532', sp-clause-decay='1.885789136417218', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='528', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.467489721330848', sp-learned-size-factor='1.4153469495881779', sp-max-res-lit-inc='3.674400567917002', sp-max-res-runs='7', sp-orig-clause-sort-heur='7', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.9541193563774444', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.3604673571184909', sp-res-cutoff-cls='15', sp-res-cutoff-lits='1230', sp-res-order-heur='4', sp-resolution='0', sp-restart-inc='1.574315255553031', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.1701727533868862', sp-var-dec-heur='9', sp-variable-decay='1.3467342810460774'
11: sp-clause-activity-inc='1.3567699530825188', sp-clause-decay='1.186702255725001', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='2633', sp-learned-clause-sort-heur='11', sp-learned-clauses-inc='1.2899656712252336', sp-learned-size-factor='0.2143112151082136', sp-max-res-lit-inc='0.39907351815978964', sp-max-res-runs='1', sp-orig-clause-sort-heur='15', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.44850610419305836', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.907611249556852', sp-res-cutoff-cls='2', sp-res-cutoff-lits='506', sp-res-order-heur='14', sp-resolution='0', sp-restart-inc='1.301845670581353', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.9398269590954886', sp-var-dec-heur='7', sp-variable-decay='1.0771902510300029'
